"","knnmodel_smote[[""testres""]][[""pred""]]"
"1",0
"2",0
"3",1
"4",0
"5",0
"6",0
"7",1
"8",0
"9",0
"10",0
"11",0
"12",1
"13",0
"14",0
"15",1
"16",1
"17",0
"18",0
"19",0
"20",1
"21",0
"22",1
"23",0
"24",0
"25",0
"26",1
"27",1
"28",0
"29",1
"30",0
"31",0
"32",0
"33",1
"34",0
"35",0
"36",1
"37",0
"38",0
"39",0
"40",1
"41",1
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",1
"49",0
"50",1
"51",0
"52",1
"53",1
"54",1
"55",0
"56",0
"57",0
"58",1
"59",1
"60",0
"61",1
"62",0
"63",0
"64",1
"65",0
"66",0
"67",0
"68",0
"69",1
"70",0
"71",0
"72",0
"73",0
"74",0
"75",1
"76",0
"77",1
"78",1
"79",1
"80",0
"81",0
"82",0
"83",1
"84",0
"85",0
"86",0
"87",0
"88",1
"89",0
"90",0
"91",0
"92",1
"93",1
"94",1
"95",1
"96",0
"97",0
"98",0
"99",1
"100",0
"101",1
"102",1
"103",1
"104",0
"105",1
"106",0
"107",0
"108",1
"109",1
"110",0
"111",1
"112",0
"113",1
"114",0
"115",0
"116",1
"117",1
"118",1
"119",1
"120",0
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",0
"128",1
"129",0
"130",0
"131",0
"132",1
"133",1
"134",0
"135",1
"136",0
"137",0
"138",1
"139",1
"140",0
"141",1
"142",1
"143",1
"144",0
"145",1
"146",1
"147",0
"148",1
"149",0
"150",0
"151",1
"152",0
"153",1
"154",1
"155",0
"156",0
"157",1
"158",0
"159",1
"160",0
"161",1
"162",0
"163",0
"164",1
"165",1
"166",1
"167",0
"168",0
"169",0
"170",1
"171",0
"172",1
"173",1
"174",0
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",0
"182",1
"183",1
"184",0
"185",0
"186",1
"187",1
"188",1
"189",1
"190",0
"191",0
"192",1
"193",0
"194",0
"195",1
"196",0
"197",1
"198",0
"199",1
"200",1
"201",1
"202",0
"203",1
"204",0
"205",0
"206",0
"207",1
"208",0
"209",0
"210",0
"211",0
"212",1
"213",1
"214",1
"215",0
"216",0
"217",1
"218",0
"219",0
